mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
2051,C15H17O6Cl,HCOCl,15,17,6,0,1,328.0713659,327.06408943312,2,5.6,0.357142857142857,2,0,0,0,1.4755846071057,0.935724558524211,0.837764084339142,1.1622359007597,1.54228817787953,0.753578946807231,0.00990812512746579
2314,C16H17O6Cl,HCOCl,16,17,6,0,1,340.0713659,339.06408943312,2,5.6,0.357142857142857,2,0,0,0,1.80229474324733,1.06955878079994,0.826948285102844,1.17305169999599,1.55711093056016,0.753351400323161,-0.0199206616124027
2360,C16H19O6Cl,HCOCl,16,19,6,0,1,342.087016,341.07973953312,2,5.6,0.357142857142857,2,0,0,0,1.40969027299434,0.911306940926738,0.826948285102844,1.17305169999599,1.55734095675871,0.753240126964532,0.0456651684157309
2448,C15H19O7Cl,HCOCl,15,19,7,0,1,346.0819306,345.07465413312,2,5.6,0.357142857142857,2,0,0,0,1.1292356364429,0.696829702018274,0.595133304595947,1.00460257800296,1.54263491882011,0.651225099177278,0.0436261030047967
2628,C17H19O6Cl,HCOCl,17,19,6,0,1,354.087016,353.07973953312,2,5.6,0.357142857142857,2,0,0,0,1.9517415324226,1.15630092461214,0.816132605075836,1.18386739492416,1.57221608934924,0.752992799745601,0.0216688798762502
2670,C16H17O7Cl,HCOCl,16,17,7,0,1,356.0662806,355.05900413312,2,5.6,0.357142857142857,2,0,0,0,1.403262544889,0.909873797659356,0.826948285102844,1.17305169999599,1.55760299530812,0.75311340792841,-0.0300071411128224
2723,C17H23O6Cl,HCOCl,17,23,6,0,1,358.1183161,357.11103963312,2,5.6,0.357142857142857,2,0,0,0,0.907598749734461,0.616557690132089,0.523720860481262,1.18386739492416,1.572676142212,0.752772527762155,-0.0140422954063264
2770,C16H21O7Cl,HCOCl,16,21,7,0,1,360.0975807,359.09030423312,2,5.6,0.357142857142857,2,0,0,0,0.505733643192798,0.327726483699198,0.272710144519806,1.31995779275894,1.58140385104343,0.834674704938915,-0.0295911793302405
2964,C18H21O6Cl,HCOCl,18,21,6,0,1,368.1026661,367.09538963312,2,5.7,0.350877192982456,2,0,0,0,1.86307186679915,1.09700808211398,0.805316925048828,1.19468310475349,1.58735868381336,0.752623283531274,0.0695843702362131
3004,C16H15O8Cl,HCOCl,16,15,8,0,1,370.0455451,369.03826863312,2,5.6,0.357142857142857,2,0,0,0,1.28990608593449,0.892241450773811,0.826948285102844,1.17305169999599,1.55841140542179,0.752722737984904,-0.0390800923443167
3011,C17H19O7Cl,HCOCl,17,19,7,0,1,370.0819306,369.07465413312,2,5.6,0.357142857142857,2,0,0,0,1.66035027895123,0.991889606726304,0.816132605075836,1.18386739492416,1.5725970142521,0.752810404824019,0.0254943014856822
3016,C18H23O6Cl,HCOCl,18,23,6,0,1,370.1183161,369.11103963312,2,5.7,0.350877192982456,2,0,0,0,1.28382612066343,0.873508849021631,0.805316925048828,1.19468310475349,1.58758870977908,0.752514235831103,-0.0286737712961254
3060,C17H21O7Cl,HCOCl,17,21,7,0,1,372.0975807,371.09030423312,2,5.6,0.357142857142857,2,0,0,0,0.730447486974299,0.475363367985322,0.3465695977211,1.18386739492416,1.57282704114914,0.752700305851307,-0.00168746663438501
3112,C17H23O7Cl,HCOCl,17,23,7,0,1,374.1132308,373.10595433312,2,5.6,0.357142857142857,2,0,0,0,0.318267838098109,0.20557615278747,0.183867394924164,1.31995779275894,1.59803952462971,0.825985698360492,-0.00177430160051709
3161,C12H21O11Cl,HCOCl,12,21,11,0,1,376.0772392,375.06996273312,2,5.7,0.350877192982456,2,0,0,0,1.17180664651096,0.761041193603183,0.680042207241058,1.31995779275894,1.52883163094521,0.863376820600495,-0.547048307355637
3165,C16H21O8Cl,HCOCl,16,21,8,0,1,376.0924953,375.08521883312,3,5.6,0.535714285714286,3,0,0,0,0.743048913776875,0.448204356307906,0.39045587182045,1.32521788170561,1.58860779041424,0.83420079499928,-0.0360523153917889
3172,C21H25O4Cl,HCOCl,21,25,4,0,1,376.144137,375.13686053312,3,5.7,0.526315789473684,3,0,0,0,0.437941771931946,0.314833425281404,0.300987780094147,1.54708808660507,1.66480500984471,0.929290864369383,0.0156062206281535
3309,C18H19O7Cl,HCOCl,18,19,7,0,1,382.0819306,381.07465413312,2,5.7,0.350877192982456,2,0,0,0,1.87995112733915,1.10739443311024,0.805316925048828,1.19468310475349,1.58750958181918,0.752551744213392,0.0246914885162195
3316,C19H23O6Cl,HCOCl,19,23,6,0,1,382.1183161,381.11103963312,2,5.7,0.350877192982456,2,0,0,0,1.80995905958116,1.06138260794254,0.794501185417175,1.20549879968166,1.60253869974986,0.752243175075792,-0.00153263077644029
3356,C17H17O8Cl,HCOCl,17,17,8,0,1,384.0611952,383.05391873312,2,5.6,0.357142857142857,2,0,0,0,1.17460381379351,0.854892158149334,0.790556132793427,1.18386739492416,1.57291770586744,0.752656919372193,0.0244540000866277
3361,C18H21O7Cl,HCOCl,18,21,7,0,1,384.0975807,383.09030423312,2,5.7,0.350877192982456,2,0,0,0,1.52671528654173,0.930587196150394,0.805316925048828,1.19468310475349,1.58773960871622,0.752442716800059,0.0244681225664514
3365,C19H25O6Cl,HCOCl,19,25,6,0,1,384.1339662,383.12668973312,2,5.7,0.350877192982456,2,0,0,0,1.04355258308351,0.728776939447831,0.651443541049957,1.20549879968166,1.60276872687973,0.752135214185597,-0.0277182609824301
3413,C17H19O8Cl,HCOCl,17,19,8,0,1,386.0768452,385.06956873312,2,5.6,0.357142857142857,2,0,0,0,1.13457464566454,0.818017315010126,0.750526964664459,1.18386739492416,1.57314773206599,0.752546865620439,-0.00147584366190322
3419,C18H23O7Cl,HCOCl,18,23,7,0,1,386.1132308,385.10595433312,3,5.7,0.526315789473684,3,0,0,0,0.504742928314954,0.353680182276591,0.331967562437057,1.51464089751244,1.6202525338158,0.934817792844525,-0.00171901405660036
3466,C17H21O8Cl,HCOCl,17,21,8,0,1,388.0924953,387.08521883312,2,5.6,0.357142857142857,2,0,0,0,0.61374851455912,0.3982763813053,0.319957792758942,1.18386739492416,1.57337775896303,0.752436843714135,-0.00156064492235854
3472,C18H25O7Cl,HCOCl,18,25,7,0,1,388.1288808,387.12160433312,2,5.7,0.350877192982456,2,0,0,0,0.402294226456434,0.247590239877491,0.194683104753494,1.31995779275894,1.6149407508783,0.817341312392462,0.0242866851345996
3519,C16H19O9Cl,HCOCl,16,19,9,0,1,390.0717599,389.06448343312,2,6.7,0.298507462686567,2,0,0,0,0.369714391301386,0.226051143791748,0.173051699995995,1.31995779275894,1.58785290352535,0.831284679977834,-0.0114816746266666
3627,C16H23O9Cl,HCOCl,16,23,9,0,1,394.10306,393.09578353312,2,6.7,0.298507462686567,2,0,0,0,1.15209381876048,0.706132555745484,0.602691054344177,1.00591759989038,1.55981180246454,0.644896774278159,0.041862592235203
3670,C18H17O8Cl,HCOCl,18,17,8,0,1,396.0611952,395.05391873312,2,6.7,0.298507462686567,2,0,0,0,1.84392540797126,1.08481105008438,0.805316925048828,1.19468310475349,1.58868453267496,0.751995175997551,-0.00160105365293243
3676,C19H21O7Cl,HCOCl,19,21,7,0,1,396.0975807,395.09030423312,2.1,5.7,0.368421052631579,2,1,0,0,1.9398448523134,1.14251112643009,0.794501185417175,1.20549879968166,1.60268959868699,0.75217234870013,-0.0112559375516377
3728,C18H19O8Cl,HCOCl,18,19,8,0,1,398.0768452,397.06956873312,2,6.7,0.298507462686567,2,0,0,0,1.68314134224784,0.99688151633906,0.805316925048828,1.19468310475349,1.58891455887351,0.751886310111278,-0.0169894180482594
3735,C19H23O7Cl,HCOCl,19,23,7,0,1,398.1132308,397.10595433312,2,5.7,0.350877192982456,2,0,0,0,1.42034578882158,0.890281745614209,0.794501185417175,1.20549879968166,1.60291962465271,0.752064408683527,0.0235143805599134
3740,C20H27O6Cl,HCOCl,20,27,6,0,1,398.1496163,397.14233983312,2,5.7,0.350877192982456,2,0,0,0,1.19469070341438,0.849466535135937,0.783685386180878,1.21631459891796,1.61798627465032,0.751745931331112,-0.0364631219308915
3776,C17H17O9Cl,HCOCl,17,17,9,0,1,400.0561098,399.04883333312,2,6.7,0.298507462686567,2,0,0,0,0.799530483433045,0.526354099383552,0.413737237453461,1.18386739492416,1.57504419691395,0.751640745855745,-0.00152964370878073
3783,C18H21O8Cl,HCOCl,18,21,8,0,1,400.0924953,399.08521883312,2,6.7,0.298507462686567,2,0,0,0,1.04084532603156,0.72882838719204,0.651846528053284,1.19468310475349,1.58914458577055,0.751777475410904,0.023542842623326
3790,C19H25O7Cl,HCOCl,19,25,7,0,1,400.1288808,399.12160433312,3,5.7,0.526315789473684,3,0,0,0,0.505756532773376,0.357564143506472,0.338213503360748,1.52545659244061,1.63753819116391,0.931554818490283,-0.00149779556367299
3833,C17H19O9Cl,HCOCl,17,19,9,0,1,402.0717599,401.06448343312,3,6.7,0.447761194029851,3,0,0,0,0.846716628526337,0.529016752251219,0.47585928440094,1.32587539264932,1.60915515816305,0.823957457379618,-0.0265441247000802
3838,C18H23O8Cl,HCOCl,18,23,8,0,1,402.1081454,401.10086893312,3,6.7,0.447761194029851,3,0,0,0,0.233053645933978,0.156552997762697,0.141776025295258,1.51464089751244,1.62371250113938,0.932825790556883,-0.01112142141821
3897,C18H25O8Cl,HCOCl,18,25,8,0,1,404.1237954,403.11651893312,2,6.7,0.298507462686567,2,0,0,0,0.29273431643378,0.206535798470926,0.194683104753494,1.31995779275894,1.61801979213487,0.815785937338468,0.00804132712576728
3950,C17H23O9Cl,HCOCl,17,23,9,0,1,406.10306,405.09578353312,2,6.7,0.298507462686567,2,0,0,0,0.950711713288911,0.537947107560475,0.386968672275543,1.00591759989038,1.57475093810353,0.638778854198876,-0.0298434977196863
4109,C19H21O8Cl,HCOCl,19,21,8,0,1,412.0924953,411.08521883312,2,6.7,0.298507462686567,2,0,0,0,1.48501457518432,0.909049861098131,0.794501185417175,1.20549879968166,1.60415146674495,0.751486891775743,-0.0257946652427045
4114,C20H25O7Cl,HCOCl,20,25,7,0,1,412.1288808,411.12160433312,2,5.7,0.350877192982456,2,0,0,0,1.29195696022362,0.856690447749258,0.783685386180878,1.21631459891796,1.61813717358746,0.751675827471015,-0.00145407710320276
4157,C18H19O9Cl,HCOCl,18,19,9,0,1,414.0717599,413.06448343312,2,6.8,0.294117647058824,2,0,0,0,1.18501932383515,0.859901336026009,0.795701503753662,1.19468310475349,1.58961450704373,0.75155523522196,0.0226441654445556
4164,C19H23O8Cl,HCOCl,19,23,8,0,1,414.1081454,413.10086893312,2,6.7,0.298507462686567,2,0,0,0,0.779148417175747,0.505670071144608,0.385958433151245,1.20549879968166,1.60438149271067,0.751379148387533,0.013419545594674
4170,C20H27O7Cl,HCOCl,20,27,7,0,1,414.1445309,413.13725443312,2,5.7,0.350877192982456,2,0,0,0,0.755525290034711,0.486076564345035,0.359244525432587,1.21631459891796,1.61836719955318,0.751568988332054,-0.00153363693720654
4215,C18H21O9Cl,HCOCl,18,21,9,0,1,416.0874099,415.08013343312,3,6.8,0.441176470588235,3,0,0,0,1.07815461209975,0.589893224962153,0.361120879650116,1.20060070464388,1.59557111770846,0.75245828363211,-0.00140214502039923
4220,C19H25O8Cl,HCOCl,19,25,8,0,1,416.1237954,415.11651893312,3.1,6.7,0.462686567164179,3,1,0,0,0.270378443063237,0.155373238318375,0.111653670668602,1.52545659244061,1.64105504949111,0.929558452602576,-0.0254757522971127
4273,C18H23O9Cl,HCOCl,18,23,9,0,1,418.10306,417.09578353312,3,6.8,0.441176470588235,3,0,0,0,0.176766792545095,0.122077733443401,0.104783862829208,1.51464089751244,1.62646743864752,0.931245754770181,-0.0014812007423537
4321,C21H21O7Cl,HCOCl,21,21,7,0,1,420.0975807,419.09030423312,2,6.7,0.298507462686567,2,0,0,0,1.92913993319962,1.12901262089856,0.77286970615387,1.22713029384613,1.63374734448735,0.75111387203582,-0.0448975400368209
4371,C20H19O8Cl,HCOCl,20,19,8,0,1,422.0768452,421.06956873312,2,6.7,0.298507462686567,2,0,0,0,1.95239386986941,1.1472863475625,0.783685386180878,1.21631459891796,1.61896585370414,0.751291076420836,-0.0013496642394744
4376,C17H23O10Cl,HCOCl,17,23,10,0,1,422.0979746,421.09069813312,2,6.7,0.298507462686567,2,0,0,0,1.36714721017051,0.885949565987483,0.803283274173737,1.00657511223108,1.57552934542764,0.63888058648496,-0.0195509790342759
4425,C20H21O8Cl,HCOCl,20,21,8,0,1,424.0924953,423.08521883312,2.1,6.7,0.313432835820896,2,1,0,0,1.87548271846026,1.0970595709698,0.783685386180878,1.21631459891796,1.61919588060118,0.751184346186925,0.0604802541981382
4431,C21H25O7Cl,HCOCl,21,25,7,0,1,424.1288808,423.12160433312,2,6.7,0.298507462686567,2,0,0,0,1.72733845433686,1.0053755933033,0.77286970615387,1.22713029384613,1.63420739758294,0.750902422581801,-0.0250460044690253
4471,C19H19O9Cl,HCOCl,19,19,9,0,1,426.0717599,425.06448343312,2,6.8,0.294117647058824,2,0,0,0,1.62593044014648,0.964316338823248,0.794501185417175,1.20549879968166,1.60443748394027,0.751352926959253,0.00746026070297506
4477,C20H23O8Cl,HCOCl,20,23,8,0,1,426.1081454,425.10086893312,2,6.7,0.298507462686567,2,0,0,0,1.58224068116397,0.939302148236368,0.783685386180878,1.21631459891796,1.6194259065669,0.751077646705358,0.0130407306853085
4481,C21H27O7Cl,HCOCl,21,27,7,0,1,426.1445309,425.13725443312,2,6.7,0.298507462686567,2,0,0,0,1.32342406234238,0.852790337353647,0.77286970615387,1.22713029384613,1.63443742354866,0.750796742760458,-0.00149034822737325
4521,C19H21O9Cl,HCOCl,19,21,9,0,1,428.0874099,427.08013343312,2,6.8,0.294117647058824,2,0,0,0,1.09657545061782,0.775435150001704,0.703250348567963,1.20549879968166,1.60466751083732,0.751245221542894,0.0220513663486695
4528,C20H25O8Cl,HCOCl,20,25,8,0,1,428.1237954,427.11651893312,3,6.7,0.447761194029851,3,0,0,0,0.417065690271556,0.330552410047567,0.322702825069427,1.5362723916769,1.65832208329812,0.926401696720773,0.0220642380582972
4533,C21H29O7Cl,HCOCl,21,29,7,0,1,428.1601809,427.15290443312,2,6.8,0.294117647058824,2,0,0,0,0.748951217741705,0.47792773522605,0.347415924072266,1.22713029384613,1.63466744951438,0.750691092681071,0.0220771073089132
4575,C19H23O9Cl,HCOCl,19,23,9,0,1,430.10306,429.09578353312,3.1,6.8,0.455882352941177,3,1,0,0,0.329440232831985,0.257504238000354,0.248776122927666,1.52545659244061,1.64339605579153,0.928234303024345,0.0218643502392974
4581,C20H27O8Cl,HCOCl,20,27,8,0,1,430.1394455,429.13216903312,3,6.7,0.447761194029851,3,0,0,0,0.348429943434894,0.204565036821978,0.147580325603485,1.5362723916769,1.65855210926384,0.926273213302168,-0.00142497490370827
4626,C18H21O10Cl,HCOCl,18,21,10,0,1,432.0823245,431.07504803312,2,6.8,0.294117647058824,2,0,0,0,1.01071881607641,0.575516249943703,0.432507485151291,1.00657511223108,1.59051302692387,0.632861910083088,0.0117862083316229
4632,C19H25O9Cl,HCOCl,19,25,9,0,1,432.1187101,431.11143363312,3,6.8,0.441176470588235,3,0,0,0,0.170159604866058,0.1093212978338,0.086482509970665,1.52545659244061,1.6436260829214,0.928104395696398,-0.0247112575075941
4685,C18H23O10Cl,HCOCl,18,23,10,0,1,434.0979746,433.09069813312,2,6.8,0.294117647058824,2,0,0,0,1.00243341282476,0.569315908796369,0.424222081899643,1.00657511223108,1.59051302692387,0.632861910083088,0.0116486925627225
4693,C19H27O9Cl,HCOCl,19,27,9,0,1,434.1343601,433.12708363312,2,6.8,0.294117647058824,2,0,0,0,0.522132870275527,0.351183798391215,0.319957792758942,1.20549879968166,1.60535758989863,0.75092229124963,-0.00136080738052689
4738,C21H21O8Cl,HCOCl,21,21,8,0,1,436.0924953,435.08521883312,3.1,6.7,0.462686567164179,3,1,0,0,2.15219457005151,1.16437257815496,0.780130445957184,1.23499031085521,1.63953770045191,0.753255207559305,0.0445781718136053
4745,C22H25O7Cl,HCOCl,22,25,7,0,1,436.1288808,435.12160433312,3,6.7,0.447761194029851,3,0,1,0,2.19164286227897,1.14572414175103,0.762053966522217,1.24659202247858,1.65392204583623,0.753718729136537,0.0216075240107858
4786,C20H19O9Cl,HCOCl,20,19,9,0,1,438.0717599,437.06448343312,2,6.8,0.294117647058824,2,0,0,0,1.89621358376462,1.11020563889718,0.783685386180878,1.21631459891796,1.61948900867719,0.751048381557991,-0.00147850614062013
4794,C21H23O8Cl,HCOCl,21,23,8,0,1,438.1081454,437.10086893312,2,6.7,0.298507462686567,2,0,0,0,1.91920118802227,1.12229405244191,0.77286970615387,1.22713029384613,1.63450763747096,0.750764490611279,0.0355708828443811
4800,C22H27O7Cl,HCOCl,22,27,7,0,1,438.1445309,437.13725443312,2,6.7,0.298507462686567,2,0,0,0,1.5541206789203,0.915504721405386,0.762053966522217,1.23794600367546,1.64954949379899,0.750475210552437,-0.0384461716961955
4837,C19H17O10Cl,HCOCl,19,17,10,0,1,440.0510244,439.04374793312,2,6.8,0.294117647058824,2,0,0,0,1.27953034394886,0.863901761896673,0.794501185417175,1.20549879968166,1.60489831271116,0.751137184290021,-0.0241160607419643
4844,C20H21O9Cl,HCOCl,20,21,9,0,1,440.0874099,439.08013343312,2,6.8,0.294117647058824,2,0,0,0,1.72414570313413,1.00802682306603,0.783685386180878,1.21631459891796,1.61971903557424,0.75094172026369,-0.00132550415708696
4851,C21H25O8Cl,HCOCl,21,25,8,0,1,440.1237954,439.11651893312,2,6.7,0.298507462686567,2,0,0,0,1.38890200131573,0.866596753172789,0.77286970615387,1.22713029384613,1.63473766460083,0.750658849073357,-0.00131104743553325
4856,C22H29O7Cl,HCOCl,22,29,7,0,1,440.1601809,439.15290443312,2,6.8,0.294117647058824,2,0,0,0,1.13013036968186,0.795521059535694,0.724298715591431,1.23794600367546,1.64977951976471,0.750370573064223,0.0442442790444122
4884,C18H15O11Cl,HCOCl,18,15,11,0,1,442.030289,441.02301253312,2,6.8,0.294117647058824,2,0,0,0,0.574423865997232,0.370404271542865,0.308809697628021,1.31995779275894,1.62607482972089,0.811744803272987,-0.00142940965744416
4891,C19H19O10Cl,HCOCl,19,19,10,0,1,442.0666745,441.05939803312,3,6.8,0.441176470588235,3,0,0,0,1.37369643931743,0.775809632506488,0.558344304561615,1.21207391191274,1.61152863909956,0.752126820774333,0.0212570020797006
4897,C20H23O9Cl,HCOCl,20,23,9,0,1,442.10306,441.09578353312,3.1,6.8,0.455882352941177,3,1,0,0,0.835077367839403,0.724367142156335,0.720044672489166,1.5362723916769,1.66067020047922,0.92509180404007,-0.00140060855356611
4903,C21H27O8Cl,HCOCl,21,27,8,0,1,442.1394455,441.13216903312,3,6.7,0.447761194029851,3,0,0,0,0.508279644185677,0.418715914148744,0.412028670310974,1.54708808660507,1.67597343982197,0.9230982125644,-0.00138621156498963
4946,C19H21O10Cl,HCOCl,19,21,10,0,1,444.0823245,443.07504803312,3,6.8,0.441176470588235,3,0,0,0,1.13534926658031,0.621865636124147,0.379164338111877,1.21207391191274,1.6117586659966,0.752019478774308,-0.0238325441442093
4952,C20H25O9Cl,HCOCl,20,25,9,0,1,444.1187101,443.11143363312,3,6.8,0.441176470588235,3,0,0,0,0.447132729110308,0.315394935553782,0.299559056758881,1.5362723916769,1.66090022760909,0.924963683031345,0.0124797636061816
4957,C21H29O8Cl,HCOCl,21,29,8,0,1,444.1550956,443.14781913312,3,6.8,0.441176470588235,3,0,0,0,0.302095972234383,0.173325530910594,0.124607145786285,1.54708808660507,1.67620346578769,0.922971535486029,-0.0240258557562225
5004,C18H19O11Cl,HCOCl,18,19,11,0,1,446.0615891,445.05431263312,2,6.8,0.294117647058824,2,0,0,0,0.582138703786768,0.377999837346472,0.319957792758942,1.19468310475349,1.59194739407394,0.750453883841092,-0.00993791467828451
5006,C22H19O8Cl,HCOCl,22,19,8,0,1,446.0768452,445.06956873312,2.1,6.7,0.313432835820896,2,1,0,0,1.98848665645346,1.1670908520965,0.820444583892822,1.23794600367546,1.64916676585563,0.750649375979382,-0.109534837293619
5010,C19H23O10Cl,HCOCl,19,23,10,0,1,446.0979746,445.09069813312,4,6.8,0.588235294117647,4,0,0,0,0.602752514532767,0.360027438185469,0.294193625450134,1.53203170467168,1.65254221146461,0.927075686202218,-0.00133838462041198
5017,C20H27O9Cl,HCOCl,20,27,9,0,1,446.1343601,445.12708363312,3,6.8,0.441176470588235,3,0,0,0,0.262825466808863,0.16210806235067,0.138887032866478,1.5362723916769,1.66113025357481,0.924835598154203,-0.00132412192783989
5056,C21H17O9Cl,HCOCl,21,17,9,0,1,448.0561098,447.04883333312,2,6.8,0.294117647058824,2,0,0,0,1.89988728694152,1.10947584687487,0.77286970615387,1.22713029384613,1.63434782449622,0.750837903323541,0.0881076222442678
5060,C18H21O11Cl,HCOCl,18,21,11,0,1,448.0772392,447.06996273312,2,6.8,0.294117647058824,2,0,0,0,1.33463311160449,0.846248690043732,0.756293773651123,1.00723262317479,1.59129854489584,0.6329626998061,-0.00796055332212714
5064,C19H25O10Cl,HCOCl,19,25,10,0,1,448.1136247,447.10634823312,2,6.8,0.294117647058824,2,0,0,0,0.328890574513935,0.221516448140032,0.205498799681664,1.31995779275894,1.63968735130038,0.805005778517549,-0.00794581485622366
5070,C20H29O9Cl,HCOCl,20,29,9,0,1,448.1500102,447.14273373312,2,6.8,0.294117647058824,2,0,0,0,0.531399138388224,0.353734546462797,0.319957792758942,1.21631459891796,1.62063914060127,0.750515379053908,-0.0302896359020731
5111,C18H23O11Cl,HCOCl,18,23,11,0,1,450.0928892,449.08561273312,2,6.8,0.294117647058824,2,0,0,0,1.06755945051555,0.619268029105837,0.48922011256218,1.00723262317479,1.59129854489584,0.6329626998061,-0.0150333940487106
5118,C19H27O10Cl,HCOCl,19,27,10,0,1,450.1292747,449.12199823312,2,6.8,0.294117647058824,2,0,0,0,1.23310814087745,0.747817705023454,0.640549421310425,1.00657511223108,1.60553413198795,0.626940961376354,-0.00776720868134588
5120,C23H27O7Cl,HCOCl,23,27,7,0,1,450.1445309,449.13725443312,2,6.7,0.298507462686567,2,0,0,0,1.76367112097796,1.01778387866573,0.751238286495209,1.24876169860363,1.66469898459036,0.750142644503937,0.0353766930512711
5152,C20H17O10Cl,HCOCl,20,17,10,0,1,452.0510244,451.04374793312,2,6.8,0.294117647058824,2,0,0,0,1.71563119196799,1.00339120978212,0.783685386180878,1.21631459891796,1.61978213640396,0.750912466301348,0.00393628292958338
5161,C21H21O9Cl,HCOCl,21,21,9,0,1,452.0874099,451.08013343312,2.1,6.8,0.308823529411765,2,1,0,0,1.89582058123779,1.10682201653167,0.77286970615387,1.22713029384613,1.63480787759181,0.750626609197517,0.034596876720571
5169,C22H25O8Cl,HCOCl,22,25,8,0,1,452.1237954,451.11651893312,2.1,6.7,0.313432835820896,2,1,0,0,1.80591965606436,1.04683310672944,0.762053966522217,1.23794600367546,1.64985684584826,0.750335404426546,-0.00974606711679236
5173,C23H29O7Cl,HCOCl,23,29,7,0,1,452.1601809,451.15290443312,2,6.8,0.294117647058824,2,0,0,0,1.64297642407473,0.951351814352363,0.751238286495209,1.24876169860363,1.66492901055608,0.75003900507839,0.109561774494285
5212,C20H19O10Cl,HCOCl,20,19,10,0,1,454.0666745,453.05939803312,2,6.8,0.294117647058824,2,0,0,0,1.6563271334162,0.973111177958721,0.783685386180878,1.21631459891796,1.62001216260251,0.750805843928964,0.0122708546671859
5220,C21H23O9Cl,HCOCl,21,23,9,0,1,454.10306,453.09578353312,2,6.8,0.294117647058824,2,0,0,0,1.64495947293472,0.962385526811037,0.77286970615387,1.22713029384613,1.63503790355753,0.750521006990803,0.0122837733883464
